,Price,author,bookName,peapleNum,pubTime,publishing,score,level,hotlevel
0,20.00元,余华,活着,229378,2012-8-1,作家出版社,9.3,A,A
1,39.50元,[日] 东野圭吾,解忧杂货店,431667,2014-5,南海出版公司,8.5,B,A
2,29.00元,[美] 卡勒德·胡赛尼,追风筝的人,444305,2006-5,上海人民出版社,8.9,B,A
3,23.00,刘慈欣,三体,263816,2008-1,重庆出版社,8.8,B,A
4,29.80元,[日] 东野圭吾,白夜行,319366,2008-9,南海出版公司,9.1,A,A
5,28.00,[日] 东野圭吾,嫌疑人X的献身,262052,2008-9,南海出版公司,8.9,B,A
6,45.00元,林奕含,房思琪的初恋乐园,76980,2018-1,北京联合出版公司,9.2,A,A
7,39.80元,[英] 威廉·萨默塞特·毛姆,月亮与六便士,60376,2017-1-1,浙江文艺出版社,8.8,B,A
8,19.00,钱锺书,围城,266502,1991-2,人民文学出版社,8.9,B,A
9,39.50元,[哥伦比亚] 加西亚·马尔克斯,百年孤独,195453,2011-6,南海出版公司,9.2,A,A
10,64.00元,路遥,平凡的世界（全三部）,162011,2005-1,人民文学出版社,9.0,B,A
11,22.00元,[法] 圣埃克苏佩里,小王子,366694,2003-8,人民文学出版社,9.0,B,A
12,59.70元,[清] 曹雪芹 著、高鹗 续,红楼梦,185643,1996-12,人民文学出版社,9.6,A,A
13,16.80元,余华,许三观卖血记,114779,1998-9,南海出版公司,8.7,B,A
14,39.50元,[哥伦比亚] 加西亚·马尔克斯,霍乱时期的爱情,114411,2012-9-1,南海出版公司,9.0,B,A
15,16.00元,太宰治,人间失格,105014,2009年9月,吉林出版集团有限责任公司,8.3,B,A
16,38.00元,刘慈欣,三体Ⅲ,153934,2010-11,重庆出版社,9.2,A,A
17,CNY 39.50,东野圭吾,白夜行,157917,2013-1-1,南海出版公司,9.2,A,A
18,18.80元,[日] 村上春树,挪威的森林,249136,2001-2,上海译文出版社,8.0,B,A
19,28.00元,刘慈欣,流浪地球,39571,2008-11,湖北长江出版集团，长江文艺出版社,8.6,B,A
20,12.00,老舍,骆驼祥子,75988,2000-3-1,人民文学出版社,8.3,B,A
21,22.00元,[法] 阿尔贝·加缪,局外人,70076,2010-8,上海译文出版社,9.0,B,A
22,32.00,刘慈欣,三体Ⅱ,155934,2008-5,重庆出版社,9.3,A,A
23,28.00,[英] 乔治·奥威尔,1984,83716,2010-4-1,北京十月文艺出版社,9.3,A,A
24,9.20元,[英] 笛福,鲁滨逊漂流记,86300,2002-1,广西民族出版社,8.0,B,A
25,24.80,当年明月,明朝那些事儿（壹）,128268,2006-9,中国友谊出版公司,8.7,B,A
26,12.00元,沈从文、黄永玉 卓雅 插图.,边城,115700,2002-4,北岳文艺出版社,8.6,B,A
27,62.00元,[意] 埃莱娜·费兰特,失踪的孩子,15388,2018-7,99读书人|人民文学出版社,9.2,A,B
28,26.80元,南派三叔,盗墓笔记,105573,2007-1,中国友谊出版公司,8.3,B,A
29,35.00元,[美] 伍绮诗,无声告白,81521,2015-7,江苏凤凰文艺出版社,8.2,B,A
30,13.00元,[英] 奥斯丁,傲慢与偏见,127111,1993-7,人民文学出版社,8.8,B,A
31,8.20元,海明威,老人与海,95240,1999-10,上海译文出版社,8.4,B,A
32,32.00,霍达,穆斯林的葬礼,106548,1988-12-1,北京十月文艺出版社,8.1,B,A
33,32.00元,姜戎,狼图腾,110949,2004-4,长江文艺出版社,8.2,B,A
34,42.00元,[意] 埃莱娜·费兰特,我的天才女友,32240,2017-1,人民文学出版社,8.5,B,A
35,18.00,[日] 东野圭吾,恶意,124397,2009-6,南海出版公司,8.4,B,A
36,28.00元,[美] 丹·布朗,达·芬奇密码,166388,2004-2,上海人民出版社,8.2,B,A
37,19.50元,[英] J. K. 罗琳,哈利·波特与魔法石,125556,2000-9,人民文学出版社,9.0,B,A
38,28.00元,陈忠实,白鹿原,72615,1997-12,人民文学出版社,8.7,B,A
39,39.00元,钱钟书,围城,25232,1991-2-1,人民文学出版社,9.3,A,B
40,40.00元,[美国] 玛格丽特·米切尔,飘,109578,2000-9,译林出版社,9.3,A,A
41,18.00元,[英] 夏洛蒂·勃朗特,简爱（英文全本）,140713,2003-11,世界图书出版公司,8.5,B,A
42,32.00元,[美] 哈珀·李,杀死一只知更鸟,39318,2012-9,译林出版社,9.2,A,A
43,29.80元,高铭,天才在左 疯子在右,155002,2010-2,武汉大学出版社,8.1,B,A
44,23.00元,[捷克] 米兰·昆德拉,不能承受的生命之轻,168333,2003-7,上海译文出版社,8.5,B,A
45,39.50元,[明] 罗贯中,三国演义（全二册）,79995,1998-05,人民文学出版社,9.2,A,A
46,25.00元,[巴西]保罗·柯艾略,牧羊少年奇幻之旅,84288,2009-3-1,南海出版公司,8.6,B,A
47,12.00元,菲茨杰拉德,了不起的盖茨比,68110,2004-06,人民文学出版社,8.3,B,A
48,,花城出版社,倾城之恋,116964,,,8.5,B,A
49,16.00元,林海音 文、关维兴 图,城南旧事,50330,2003-7,中国青年出版社,9.0,B,A
50,20.00元,[法] 玛格丽特·杜拉斯,情人,110759,2005-7,上海译文出版社,8.1,B,A
51,20.00元,[奥] 斯台芬·茨威格,一个陌生女人的来信,71302,2007-7,上海译文出版社,8.7,B,A
52,129.80元,[英] 肯·福莱特,巨人的陨落,51438,2016-5-1,江苏凤凰文艺出版社,8.9,B,A
53,CNY 35.00,[美] 加·泽文,岛上书店,100960,2015-5-1,江苏凤凰文艺出版社,7.6,B,A
54,14.80元,今何在,悟空传,87428,2001-4,光明日报出版社,8.3,B,A
55,19.00元,王小波,黄金时代,88645,1999-3,花城出版社,8.8,B,A
56,148.00,[美] 保罗·奥斯特,4321,742,2019-1,理想国丨九州出版社,8.7,B,E
57,9.00元,小仲马,茶花女,76228,1997-3,外国文学出版社,8.2,B,A
58,22.50元,[法]雨果,巴黎圣母院,63798,1982-6,人民文学出版社,8.3,B,A
59,23.00元,[日] 村上春树,挪威的森林,68804,2007-7,上海译文出版社,8.5,B,A
